ID_Employe,Age,Sexe,Departement,Annees_Experience,Niveau_Etudes,Salaire_Mensuel_BIF,Travail_A_Distance,Heures_Supplementaires,Heures_Formation,Anciennete_Entreprise,Nombre_Promotions,Evaluation_Performance,Equilibre_Vie_Travail,Satisfaction_Salaire,Nombre_Absences,Satisfait,Departement_Administration,Departement_Commercial,Departement_Finance,Departement_Informatique,Departement_Logistique,Departement_Marketing,Departement_Production,Departement_Recherche et Développement,Departement_Ressources Humaines,Departement_Support Client
192,-1.5047650666014425,Homme,Informatique,0.0,Licence,-1.1391029161628692,Non,0.12024450597173755,0.5676582165282199,0.0,1.0,4.0,1.0,3.0,-1.1984183561016146,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
281,0.03286328688298834,Homme,Finance,13.0,Licence,0.012164619119581868,Oui,-1.6424757774048222,1.4742581519763551,4.0,0.0,2.0,2.0,3.0,0.22245783853946088,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,0.8871012610410054,Femme,Logistique,1.0,Secondaire,-1.238136158134515,Oui,-1.4662037490671662,1.1233162414803026,0.0,0.0,5.0,0.0,3.0,1.2881149845202675,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
470,-0.9067984846908305,Femme,Finance,12.0,Licence,0.4516228246876088,Non,-0.5848436073788863,0.6261485349442286,1.0,0.0,5.0,1.0,2.0,-0.014354860567385028,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0.8871012610410054,Femme,Commercial,12.0,Licence,0.28807213041234886,Non,-1.2899317207295102,0.9478452862322766,7.0,3.0,5.0,3.0,2.0,4.921082158802247e-05,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.20371088171459176,Femme,Support Client,25.0,Master,1.3800604058499724,Non,1.7066927610106413,1.2987871967283289,20.0,4.0,4.0,2.0,4.0,-0.6063866083344998,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
382,0.3745584765461952,Homme,Recherche et Développement,5.0,Master,-0.22036179296462235,Oui,1.1778766759976733,-0.5436578333759458,5.0,0.0,2.894845360824742,3.0,2.0,-1.4352310552084604,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
297,-1.5047650666014425,Femme,Commercial,0.0,Secondaire,-1.224383737124113,Non,0.12024450597173755,-0.075735286047876,0.0,1.0,5.0,3.0,2.0,-0.48798025878107687,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,-0.5651032950276236,Femme,Recherche et Développement,4.0,Licence,-0.6495068032296348,Non,1.1778766759976733,0.09973566920015016,2.0,0.0,2.894845360824742,0.0,0.0,-1.4352310552084604,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,0.20371088171459176,Homme,Support Client,13.0,Licence,-0.15746926482352636,Non,1.3541487043353293,-1.1578061767440373,5.350515463917525,0.0,3.0,1.0,0.0,0.9328959358599986,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
